Index,X,Y,Z
0,0.4562157,0.396439,-0.6826071
1,0.4562016,0.3964267,-0.6823545
2,0.4562557,0.3964244,-0.6819621
3,0.4563396,0.396419,-0.6815446
4,0.4565246,0.3963994,-0.6808644
5,0.4566782,0.3963848,-0.6804431
6,0.4568937,0.3964244,-0.6799991
7,0.4575851,0.396466,-0.6790718
8,0.4584772,0.3962982,-0.676977
9,0.4591322,0.3959579,-0.6740776
10,0.4608352,0.3958966,-0.6690496
11,0.4640642,0.3960147,-0.6631988
12,0.4684039,0.3958783,-0.6558527
13,0.4738157,0.3965411,-0.646695
14,0.4783812,0.3971932,-0.6391484
15,0.4887216,0.3978083,-0.6233798
16,0.4988291,0.3975832,-0.6088669
17,0.5092356,0.397853,-0.5965132
18,0.5186417,0.3975401,-0.5859342
19,0.5310822,0.3976279,-0.5798862
20,0.5446976,0.3971663,-0.5782969
21,0.5606495,0.3977768,-0.5805477
22,0.5780631,0.398679,-0.5859061
23,0.5939375,0.3999664,-0.5912451
24,0.6085267,0.4008709,-0.59667
25,0.6222199,0.4009649,-0.6019317
26,0.6349549,0.4010227,-0.6071813
27,0.6464788,0.4010087,-0.6152952
28,0.6580106,0.4012126,-0.6233298
29,0.6672006,0.4012493,-0.6358548
30,0.6776008,0.401052,-0.6461563
31,0.6859654,0.4010048,-0.65857
32,0.6928955,0.4008803,-0.6713098
33,0.6977453,0.4007455,-0.6838126
34,0.7019408,0.4006641,-0.6957002
35,0.7025142,0.4003166,-0.7080145
36,0.7001634,0.399873,-0.7199886
37,0.6953372,0.3994463,-0.7318221
38,0.6904211,0.3994229,-0.7431461
39,0.6801981,0.3995705,-0.7543596
40,0.6678157,0.3999365,-0.7643549
41,0.6548814,0.4001675,-0.7738274
42,0.6416295,0.4002524,-0.7821162
43,0.6291599,0.4002537,-0.7904032
44,0.6146179,0.3998019,-0.7980896
45,0.5993514,0.3999676,-0.803384
46,0.5854865,0.3999055,-0.8089988
47,0.5708447,0.3993344,-0.8116565
48,0.5567598,0.399065,-0.8141347
49,0.5424895,0.3983902,-0.8121645
50,0.5289258,0.3980619,-0.8098537
51,0.5184219,0.3980422,-0.7976191
52,0.507665,0.3978506,-0.7879284
53,0.5001694,0.3974814,-0.7720345
54,0.4940731,0.3970382,-0.7547652
55,0.4878322,0.3966106,-0.7376536
56,0.4808078,0.3963711,-0.7227002
57,0.47488,0.3962887,-0.7060068
58,0.4697119,0.3963812,-0.6920893
59,0.4645709,0.3960541,-0.6793247
60,0.4621013,0.3956499,-0.668281
61,0.4617397,0.3951655,-0.6593798
62,0.4612175,0.3949093,-0.6510161
63,0.4663441,0.3942665,-0.6503214
64,0.4687253,0.3937491,-0.6479301
65,0.4725479,0.3944977,-0.6515402
66,0.4757149,0.3949812,-0.6569017
67,0.4774269,0.3948006,-0.6622463
68,0.4774098,0.3949926,-0.6672582
69,0.4762507,0.3955118,-0.6704618
70,0.4743072,0.396307,-0.6735374
