Index,X,Y,Z
0,0.7655815,0.4002889,-0.6032785
1,0.7653463,0.4003642,-0.6042519
2,0.7655287,0.4001916,-0.6041453
3,0.7660507,0.4005885,-0.6044098
4,0.766677,0.4008079,-0.6041548
5,0.7669973,0.4009856,-0.6040391
6,0.7669321,0.4011094,-0.6041983
7,0.7671457,0.4018328,-0.6038442
8,0.7670946,0.4020379,-0.6039477
9,0.7672527,0.4020133,-0.6039331
10,0.767383,0.4016639,-0.6041057
11,0.7673444,0.4016261,-0.6039737
12,0.7671284,0.4015017,-0.6039644
13,0.7668132,0.4010695,-0.6041784
14,0.7664941,0.4007349,-0.6039192
15,0.7664011,0.4005756,-0.6038594
16,0.7663039,0.4001623,-0.6038325
17,0.7660812,0.3999759,-0.6037716
18,0.7659739,0.3999991,-0.6038324
19,0.7657302,0.4001156,-0.6038102
20,0.7653842,0.3998813,-0.6037296
21,0.765301,0.3997424,-0.6037179
22,0.765515,0.400351,-0.6031965
23,0.7655078,0.4003677,-0.6030706
24,0.7653374,0.4004475,-0.6030967
25,0.7650842,0.4005081,-0.6032482
26,0.7648765,0.4005623,-0.6034331
27,0.764749,0.4005971,-0.6034715
28,0.7644434,0.4005185,-0.6038903
29,0.7643533,0.4006207,-0.6040322
30,0.7641723,0.4006084,-0.6040088
31,0.7640705,0.4005157,-0.6041876
32,0.7640583,0.4006239,-0.6043961
33,0.7634241,0.400631,-0.6036962
34,0.7633715,0.4006007,-0.6036609
35,0.7630734,0.4003672,-0.6031717
36,0.7624273,0.4002991,-0.6023784
37,0.7616128,0.3999911,-0.6021961
38,0.7603033,0.3993236,-0.6013274
39,0.7585864,0.3985955,-0.6000537
40,0.7569963,0.3974335,-0.5989534
41,0.7552748,0.3961902,-0.5978782
42,0.7536811,0.394571,-0.5974938
43,0.7525126,0.3940752,-0.5970318
44,0.7505412,0.3950743,-0.5954818
45,0.7477921,0.3971238,-0.5913858
46,0.7426746,0.3994224,-0.5837518
47,0.7368603,0.4003985,-0.5775114
48,0.7276071,0.4020997,-0.5685171
49,0.7169402,0.4023795,-0.5591425
50,0.7056574,0.4017687,-0.5496001
51,0.6945917,0.4008006,-0.5397179
52,0.6834291,0.3992892,-0.5300485
53,0.672235,0.3978999,-0.5188359
54,0.6607897,0.3960856,-0.5066941
55,0.6492766,0.394519,-0.4940297
56,0.6381303,0.3942064,-0.4818308
57,0.6266719,0.3938341,-0.4677104
58,0.615779,0.3931433,-0.4544035
59,0.6054028,0.393784,-0.4408534
60,0.5953745,0.394203,-0.4271072
61,0.5856116,0.3957734,-0.412746
62,0.5752913,0.3968343,-0.3981703
63,0.5656009,0.3977616,-0.3829836
64,0.5560465,0.3976771,-0.3678456
65,0.5462255,0.3969853,-0.3526568
66,0.536338,0.3957756,-0.3380602
67,0.5266336,0.3949884,-0.3238431
68,0.5171258,0.3948333,-0.3097298
69,0.5076219,0.3930559,-0.295164
70,0.499891,0.392333,-0.2793677
71,0.4879333,0.3921658,-0.2468856
72,0.4828781,0.3926511,-0.2318193
73,0.4803376,0.3923609,-0.216913
74,0.4805096,0.3917559,-0.202277
75,0.4820746,0.3920358,-0.1885733
76,0.4832075,0.391687,-0.1747762
77,0.4883326,0.3919233,-0.1599435
78,0.496406,0.3921608,-0.1454951
79,0.5045928,0.3919824,-0.1310413
80,0.5187435,0.393928,-0.1186715
81,0.5308409,0.3954801,-0.1084275
82,0.5413424,0.3955331,-0.0982641
83,0.5530281,0.3948665,-0.09118643
84,0.5641297,0.3940859,-0.08429191
85,0.5878226,0.3940443,-0.07090729
86,0.6002687,0.3939961,-0.06604991
87,0.6130372,0.3947342,-0.06093052
88,0.6251374,0.3953331,-0.05802545
89,0.6359435,0.3953875,-0.05642442
90,0.6469215,0.3947665,-0.05621518
91,0.6574278,0.3950603,-0.0577786
92,0.6672419,0.3954596,-0.06066097
93,0.676868,0.3952914,-0.06307679
94,0.6855728,0.3949629,-0.06813131
95,0.6944031,0.3946705,-0.07438938
96,0.7034573,0.3941521,-0.08037934
97,0.7126886,0.3935225,-0.08898102
98,0.7214801,0.3931324,-0.1001568
99,0.7366802,0.3924766,-0.1225122
100,0.7419429,0.3934305,-0.1369093
101,0.7466189,0.3952435,-0.1500276
102,0.7482675,0.3978921,-0.1640064
103,0.7473668,0.3981566,-0.1780346
104,0.7462736,0.4004095,-0.1912981
105,0.7420555,0.4010935,-0.2051034
106,0.7367599,0.3985969,-0.2197224
107,0.7339415,0.3974736,-0.2337743
108,0.731867,0.3930263,-0.2473498
109,0.7325889,0.3923289,-0.2560233
110,0.7329959,0.3925391,-0.2628743
111,0.734224,0.3940783,-0.261868
112,0.7371474,0.3970496,-0.2527606
113,0.736328,0.3970675,-0.2478306
114,0.7347479,0.3965054,-0.242715
115,0.7331609,0.3951849,-0.2378771
116,0.732093,0.3929876,-0.234015
117,0.7315675,0.3910903,-0.231984
118,0.7310343,0.3893398,-0.2315706
119,0.7313256,0.3893787,-0.2319935
120,0.7320843,0.3916899,-0.235287
121,0.7332349,0.3924012,-0.2371511
122,0.734179,0.3941477,-0.2380408
123,0.7345182,0.3946785,-0.237924
124,0.7341198,0.3944379,-0.2369025
125,0.7340502,0.3936257,-0.2360439
126,0.7341661,0.3927439,-0.2355212
127,0.7354181,0.3918398,-0.2355299
128,0.7362357,0.3933142,-0.2362249
129,0.7379401,0.3940757,-0.2362456
130,0.7389936,0.3913116,-0.2368164
131,0.7416381,0.3909691,-0.2348779
132,0.7477192,0.3933535,-0.2305218
133,0.75273,0.3927749,-0.2270866
134,0.7625891,0.3923771,-0.2208112
135,0.7717097,0.3922963,-0.2157019
136,0.7834329,0.3935126,-0.209215
137,0.8072634,0.3955517,-0.1963676
138,0.8201787,0.3961025,-0.1911578
139,0.8324702,0.395996,-0.1863623
140,0.8455238,0.3961312,-0.182016
141,0.8585979,0.3960853,-0.1788208
142,0.8716431,0.3961275,-0.1755697
143,0.8846255,0.3964835,-0.172416
144,0.8981889,0.3968868,-0.1712217
145,0.912131,0.396995,-0.1706791
146,0.9256735,0.3955793,-0.1715675
147,0.9406682,0.3947116,-0.1734961
148,0.9563419,0.3939077,-0.1765461
149,0.9714118,0.3935572,-0.1799509
150,0.9875978,0.3974179,-0.1848314
151,1.002489,0.3987202,-0.1912885
152,1.016769,0.3992427,-0.1971598
153,1.030455,0.4000534,-0.2044659
154,1.04262,0.3995765,-0.2134315
155,1.062091,0.4009514,-0.2340296
156,1.071144,0.4018035,-0.2444047
157,1.077782,0.4022165,-0.2559336
158,1.083478,0.4023265,-0.267717
159,1.088089,0.4024077,-0.2797772
160,1.093088,0.4029827,-0.2917209
161,1.095751,0.4039398,-0.3047836
162,1.097853,0.4039554,-0.3179318
163,1.0977,0.4048248,-0.3441619
164,1.096819,0.4046988,-0.3565764
165,1.093513,0.4045046,-0.3688931
166,1.088448,0.4048936,-0.3804608
167,1.082237,0.4057079,-0.3916537
168,1.074949,0.406249,-0.403161
169,1.06613,0.4063509,-0.4142314
170,1.058078,0.407152,-0.4251022
171,1.046871,0.4064012,-0.4357196
172,1.035126,0.4069827,-0.4446874
173,1.022559,0.4064203,-0.4529288
174,1.008732,0.4041571,-0.4625463
175,0.99563,0.4036522,-0.4709197
176,0.9815959,0.4034675,-0.4784167
177,0.9680574,0.4020989,-0.4870542
