Index,X,Y,Z
0,0.7689186,0.4078006,-0.5240037
1,0.7704058,0.405737,-0.5230495
2,0.7708924,0.403293,-0.5211005
3,0.77086,0.4030263,-0.5190478
4,0.7704448,0.4025532,-0.5178295
5,0.7698503,0.4023054,-0.5177516
6,0.7704164,0.4027558,-0.5189129
7,0.771054,0.4033749,-0.5201986
8,0.7711415,0.4038384,-0.521128
9,0.7707289,0.4042546,-0.521001
10,0.7701494,0.4040388,-0.5206019
11,0.7700958,0.4039021,-0.5201277
12,0.7697787,0.4037117,-0.5196043
13,0.7696161,0.4038383,-0.5191208
14,0.7694277,0.4036333,-0.5188751
15,0.7693858,0.4034711,-0.5183151
16,0.76861,0.4030592,-0.5174322
17,0.7677829,0.4033269,-0.5162234
18,0.765358,0.4024456,-0.5142409
19,0.7618635,0.4030343,-0.5116041
20,0.7569774,0.4044136,-0.508177
21,0.7491808,0.4042726,-0.5030762
22,0.7412763,0.4047017,-0.4976854
23,0.7316393,0.4042076,-0.4906012
24,0.7247494,0.4039469,-0.4854123
25,0.717584,0.402957,-0.480748
26,0.7104902,0.4025537,-0.4767193
27,0.7035814,0.4025525,-0.4732065
28,0.6967561,0.4030853,-0.4708651
29,0.6898952,0.4036429,-0.4680746
30,0.683767,0.4042198,-0.4656889
31,0.6779092,0.4044501,-0.4628877
32,0.6720694,0.4044035,-0.4598687
33,0.6670859,0.4042545,-0.4572834
34,0.6622855,0.4039045,-0.4550543
35,0.6577384,0.403664,-0.4532647
36,0.653797,0.4035847,-0.4526961
37,0.6503406,0.4037236,-0.4523388
38,0.6486167,0.4037931,-0.4546351
39,0.6466122,0.4038765,-0.4563908
40,0.6463049,0.4043825,-0.4600779
41,0.6453787,0.4046591,-0.4628
42,0.6464964,0.4056501,-0.4675422
43,0.6478764,0.4060067,-0.4727021
44,0.6494246,0.4057567,-0.4783244
45,0.6506839,0.4049946,-0.4845439
46,0.6521164,0.4040785,-0.4916126
47,0.6539637,0.4039083,-0.4997896
48,0.6555753,0.4039179,-0.507641
49,0.6571678,0.4040143,-0.515978
50,0.6599731,0.404658,-0.527196
51,0.6616569,0.4047645,-0.536467
52,0.6635462,0.4050933,-0.5467075
53,0.6652731,0.4053319,-0.5565192
54,0.6662856,0.4054145,-0.5655995
55,0.6670597,0.405558,-0.5743365
56,0.6672235,0.4058649,-0.5825882
57,0.666706,0.40623,-0.5899283
58,0.66576,0.406485,-0.596233
59,0.6643598,0.4065431,-0.6016757
60,0.6627346,0.4064346,-0.6062396
61,0.6608583,0.4064938,-0.6097625
62,0.6590997,0.4063952,-0.6135618
63,0.6558903,0.406043,-0.6155988
64,0.6527553,0.4060297,-0.6169536
65,0.6493782,0.4059364,-0.6176168
66,0.6452048,0.4057398,-0.6177557
67,0.6404898,0.4057339,-0.6171923
68,0.6360959,0.4055861,-0.6167648
69,0.6299317,0.4055442,-0.6144142
70,0.6236183,0.4059445,-0.6105113
71,0.6177514,0.406021,-0.6066083
72,0.6103393,0.406071,-0.5996662
73,0.6022355,0.4059409,-0.5912471
74,0.5938765,0.4057819,-0.5814959
75,0.5864285,0.405775,-0.5725192
76,0.5786871,0.4054183,-0.5604584
77,0.5714934,0.4053175,-0.5499596
78,0.5647298,0.4054257,-0.5392561
79,0.5581582,0.4048972,-0.5271636
80,0.5510337,0.4042385,-0.516194
81,0.5448975,0.4032881,-0.5066413
82,0.5386559,0.4022869,-0.4983925
83,0.5329499,0.4015896,-0.4918192
84,0.5286842,0.4015079,-0.4875576
85,0.5253957,0.4017543,-0.4853102
86,0.5235552,0.4020917,-0.4841406
87,0.5213403,0.4024776,-0.482792
88,0.5210582,0.402861,-0.4840418
89,0.5216272,0.4026921,-0.4859949
90,0.523708,0.4025361,-0.4892757
91,0.5267264,0.4022442,-0.4932239
92,0.5287036,0.4023769,-0.4960673
93,0.5311413,0.4023901,-0.4996447
94,0.5302855,0.4025469,-0.5017307
95,0.5273951,0.4052204,-0.5021707
96,0.5258524,0.4063719,-0.5014445
97,0.5252518,0.4060705,-0.5014164
98,0.5262334,0.4052864,-0.5014597
99,0.5282501,0.4047784,-0.5010117
100,0.529173,0.4045108,-0.5005919
101,0.5297658,0.404291,-0.5002701
102,0.5296147,0.4044773,-0.4999827
103,0.5293686,0.4047989,-0.4992476
104,0.5295293,0.404709,-0.4986091
