Index,X,Y,Z
0,0.1360788,0.3918519,-0.5718845
1,0.1348541,0.3946413,-0.5698724
2,0.1324981,0.3983332,-0.5655658
3,0.1278361,0.3996699,-0.5614456
4,0.1241045,0.4001289,-0.5566155
5,0.1213412,0.399262,-0.5519964
6,0.1198604,0.3983439,-0.548358
7,0.1189638,0.398007,-0.5453966
8,0.1199124,0.3984166,-0.542702
9,0.121154,0.3988227,-0.5394754
10,0.122139,0.398612,-0.5357594
11,0.1233806,0.3985535,-0.5320156
12,0.1249077,0.3982001,-0.526513
13,0.1265597,0.398133,-0.5213519
14,0.1283256,0.3990835,-0.5143547
15,0.1300888,0.3999172,-0.5067028
16,0.1319491,0.4001926,-0.4998059
17,0.134533,0.4002793,-0.4910721
18,0.1371313,0.4000678,-0.4831689
19,0.1411891,0.3993282,-0.4741322
20,0.1464898,0.3988652,-0.4641546
21,0.151671,0.3987467,-0.4537009
22,0.158936,0.3984957,-0.4409951
23,0.167606,0.3982642,-0.4276646
24,0.1776713,0.3981336,-0.4136875
25,0.1889906,0.3981612,-0.4003202
26,0.1999476,0.3983732,-0.3874877
27,0.2129205,0.399333,-0.3756932
28,0.2265338,0.4013345,-0.3645191
29,0.2397329,0.4019519,-0.3536908
30,0.251327,0.4008428,-0.3433039
31,0.2641827,0.400916,-0.3321245
32,0.2784454,0.4009265,-0.3204362
33,0.2925899,0.4009614,-0.3089311
34,0.3093578,0.4009612,-0.2972284
35,0.32789,0.4009991,-0.2856307
36,0.3453102,0.4014396,-0.2746598
37,0.3646118,0.4018284,-0.2651742
38,0.3841927,0.4016955,-0.2570762
39,0.4036008,0.4014138,-0.2490799
40,0.4257006,0.39962,-0.2433713
41,0.4462445,0.3992566,-0.2354461
42,0.470876,0.3976345,-0.2295139
43,0.4964322,0.3972828,-0.2218775
44,0.5227545,0.3977785,-0.2150882
45,0.5486452,0.3992378,-0.2106612
46,0.5743765,0.4018017,-0.2072378
47,0.6006745,0.4030616,-0.2076796
48,0.6260805,0.4033994,-0.2101542
49,0.6511511,0.4030527,-0.2119284
50,0.6762362,0.4011376,-0.2167845
51,0.7025058,0.4007604,-0.2235989
52,0.7291231,0.4011159,-0.232428
53,0.7548521,0.4016254,-0.2409091
54,0.7792354,0.4039647,-0.2525473
55,0.799207,0.4039491,-0.2675382
56,0.8192946,0.4036044,-0.2799904
57,0.8360726,0.4023747,-0.2950377
58,0.8514858,0.4019211,-0.3083765
59,0.8679093,0.4033306,-0.3210697
60,0.8836582,0.4036627,-0.3332164
61,0.898725,0.4043461,-0.3442706
62,0.9121392,0.4038082,-0.3565869
63,0.9249365,0.4033535,-0.3701537
64,0.9369307,0.403576,-0.3842728
65,0.9448118,0.4037909,-0.4003256
66,0.954679,0.4042067,-0.4149344
67,0.9620883,0.4049967,-0.4284876
68,0.9705184,0.40521,-0.4415332
69,0.975987,0.4053124,-0.4525437
70,0.9813033,0.4057697,-0.4644426
71,0.9869176,0.4062609,-0.4767994
72,0.9902676,0.406473,-0.4892107
73,0.9936029,0.4066512,-0.5013849
74,0.9931657,0.4069301,-0.5123637
75,0.9931273,0.4071453,-0.5228828
76,0.9934216,0.4072057,-0.5331504
77,0.9917217,0.4070512,-0.542002
78,0.9905745,0.4068493,-0.5507603
79,0.987927,0.4068826,-0.5573758
80,0.9848153,0.4067602,-0.5613802
81,0.9829248,0.4065254,-0.5667039
82,0.9804206,0.4061085,-0.5699404
83,0.9779602,0.4060243,-0.5739253
84,0.9752774,0.4056678,-0.5756587
85,0.972477,0.4054384,-0.5768546
