Index,X,Y,Z
0,0.453954,0.4026125,-0.5529117
1,0.4555726,0.4020813,-0.553868
2,0.4599178,0.3999271,-0.5565306
3,0.4654514,0.3986267,-0.5605279
4,0.4718387,0.3980501,-0.5656721
5,0.4807752,0.3979245,-0.5723053
6,0.4921914,0.3982867,-0.580453
7,0.5035869,0.3984622,-0.5881777
8,0.5188305,0.398628,-0.5981739
9,0.535486,0.398663,-0.6076079
10,0.5511611,0.3989733,-0.6160927
11,0.5857304,0.3997257,-0.6327267
12,0.6031746,0.400333,-0.6397543
13,0.6208727,0.4004588,-0.6465581
14,0.638743,0.400094,-0.6527748
15,0.6568421,0.4002085,-0.6586663
16,0.6746606,0.3994184,-0.6633881
17,0.6921391,0.3988692,-0.6678623
18,0.7096801,0.3987985,-0.6722156
19,0.725967,0.3986037,-0.6750143
20,0.741806,0.3989874,-0.6779105
21,0.7582409,0.3995078,-0.6806424
22,0.7733043,0.4000651,-0.6814808
23,0.7878121,0.4008003,-0.681514
24,0.8017681,0.4012187,-0.6801539
25,0.8145893,0.4014808,-0.6767764
26,0.8272015,0.4018584,-0.6736336
27,0.8383912,0.4019781,-0.6679681
28,0.8476509,0.4020513,-0.6604088
29,0.8553501,0.4026795,-0.6522831
30,0.8635495,0.4032216,-0.6451066
31,0.8681415,0.4033974,-0.6362951
32,0.8711104,0.403671,-0.6283723
33,0.8746638,0.4036743,-0.6214372
34,0.8741327,0.4034507,-0.6142036
35,0.8720317,0.4031292,-0.6079117
36,0.8700455,0.4021783,-0.6026907
37,0.8622304,0.4013866,-0.599555
38,0.8571146,0.4006949,-0.5960397
39,0.8479123,0.4000638,-0.5949466
40,0.8378347,0.4002183,-0.595754
41,0.826529,0.4006554,-0.5975208
42,0.8124874,0.4009393,-0.5995671
43,0.8005332,0.4015347,-0.6017451
44,0.7864436,0.4012698,-0.6041433
45,0.7720447,0.3986045,-0.6080418
46,0.7548064,0.3971541,-0.6125464
47,0.7379175,0.3970543,-0.6173484
48,0.7213445,0.396943,-0.6212239
49,0.7049975,0.3974469,-0.6273835
50,0.688786,0.3978008,-0.6347736
51,0.6729137,0.3990756,-0.6407418
52,0.6564859,0.399372,-0.6501312
53,0.6404957,0.399534,-0.6584295
54,0.6242893,0.3992509,-0.6679004
55,0.608981,0.3987446,-0.6783293
56,0.5941015,0.3983856,-0.6893663
57,0.5794333,0.3983385,-0.6999487
58,0.5652431,0.3983676,-0.7119007
59,0.5511788,0.3986544,-0.724505
60,0.5379946,0.398975,-0.7375915
61,0.5258045,0.3993462,-0.7507151
62,0.5143896,0.399779,-0.7640285
63,0.5039121,0.3998039,-0.7769372
64,0.4934468,0.3998309,-0.7892954
65,0.484929,0.4004744,-0.8011755
66,0.4778848,0.4007396,-0.8121911
67,0.4709113,0.4011588,-0.8230642
68,0.46631,0.4016244,-0.8324236
69,0.4626608,0.4025078,-0.840462
70,0.4597305,0.4034887,-0.8472571
71,0.4578646,0.4042843,-0.8522543
72,0.4559448,0.404873,-0.8575403
73,0.4563604,0.4052349,-0.8594113
74,0.4576723,0.4050514,-0.8597595
75,0.4595423,0.4051623,-0.8587121
76,0.4606907,0.4046322,-0.857101
77,0.4609306,0.4040406,-0.8562197
78,0.4604183,0.4041026,-0.8542838
79,0.4602445,0.4045207,-0.8523201
80,0.4612197,0.4044527,-0.8493993
81,0.4624929,0.4036948,-0.8466046
